en_word,pt_word,frequence
you ,vocês,28787591
the ,a,22761659
to ,para,17099834
it ,isto,13631703
and ,e,10572938
that ,este,10203742
of ,do,8915110
is ,é,7400675
in ,dentro,7337058
what ,o que,6900164
we ,nós,6755687
me ,Eu,6444985
this ,isto,5739788
he ,ele,5516364
for ,por,5174060
my ,minha,4938948
on ,sobre,4821861
have ,tenho,4764010
your ,sua,4610945
do ,Faz,4419883
was ,foi,4401531
m ,m,4386306
no ,não,4374975
not ,não,4262273
be ,ser,4210868
are ,são,4203821
don ,vestir,4158644
re ,ré,4059719
know ,conhecer,3892394
can ,posso,3826118
with ,com,3806977
but ,mas,3631462
all ,tudo,3544700
so ,assim,3434152
just ,apenas,3334392
there ,lá,3148528
here ,aqui,3138591
they ,elas,3060204
like ,Curti,2983027
ll ,ll,2913428
get ,pegue,2883193
she ,ela,2778359
go ,vai,2738504
if ,E se,2630800
right ,certo,2576821
out ,Fora,2510010
about ,cerca de,2487348
up ,acima,2459855
at ,no,2431398
him ,dele,2431059
now ,agora,2298830
oh ,oh,2298308
one ,1,2263956
come ,venha,2203919
well ,Nós vamos,2159909
her ,sua,2154982
how ,Como as,2140365
yeah ,sim,2000641
ve ,ve,1991871
will ,vai,1969807
got ,pegou,1968389
want ,querer,1950845
think ,acho,1839473
as ,Como,1792220
see ,Vejo,1781493
did ,fez,1742764
good ,Boa,1741730
who ,quem,1734491
why ,Por quê,1722797
from ,a partir de,1709582
let ,deixar,1705262
his ,seu,1666361
yes ,sim,1634050
when ,quando,1531731
going ,indo,1520767
time ,Tempo,1453708
an ,um,1449181
okay ,ok,1428884
back ,de volta,1405024
look ,olhar,1348467
us ,nós,1346903
would ,gostaria,1340070
them ,eles,1327509
where ,Onde,1322226
were ,nós estamos,1315964
take ,leva,1312232
then ,então,1275502
had ,teve,1274537
or ,ou,1267646
been ,estive,1265150
our ,nosso,1191941
gonna ,vai,1188190
tell ,dizer,1176290
really ,verdade,1174710
man ,cara,1173588
some ,algum,1166914
say ,dizer,1153915
hey ,Ei,1149292
could ,poderia,1111837
d ,d,1109205
didn ,não,1100643
by ,por,1090424
need ,precisar,1040131
something ,algo,1038638
has ,tem,1035310
too ,também,1022558
more ,mais,1010390
way ,caminho,1000182
down ,baixa,978966
make ,faço,963885
very ,muito,945653
never ,Nunca,930831
only ,só,887363
people ,pessoas,885915
over ,sobre,880841
because ,Porque,880112
little ,pequena,869522
please ,por favor,842120
love ,amor,830324
should ,deve,823711
mean ,significa,821275
said ,disse,818878
sorry ,desculpe,818019
give ,dar,811919
off ,desligado,799351
am ,sou,785830
thank ,obrigado,773577
any ,algum,767968
two ,dois,764564
even ,até,744544
much ,Muito de,738599
doing ,fazendo,732145
sure ,claro,709390
thing ,coisa,697528
these ,esses,683128
help ,ajuda,666286
first ,primeiro,656387
into ,em,655747
anything ,nada,640206
still ,ainda,639540
find ,achar,626520
life ,vida,624596
nothing ,nada,622415
sir ,Senhor,619500
day ,dia,617674
god ,Deus,611924
work ,trabalhar,611677
their ,seus,601171
uh ,uh,592651
again ,novamente,590019
maybe ,pode ser,581087
must ,devo,580931
before ,antes da,578606
other ,outro,577197
wait ,esperar,574752
stop ,Pare,574016
call ,ligar,572997
after ,depois,572761
won ,Ganhou,571621
talk ,conversa,567036
away ,um jeito,564268
than ,do que,561014
thought ,pensamento,558542
home ,casa,556894
night ,noite,556318
put ,colocar,552246
great ,excelente,545768
those ,Essa,528404
last ,último,527395
better ,Melhor,520328
everything ,tudo,519795
told ,contou,517951
mr. ,Senhor.,515685
new ,novo,508486
things ,coisas,503642
always ,sempre,503417
keep ,guarda,498392
long ,grandes,496267
years ,anos,481860
leave ,sair,478282
does ,faz,478174
money ,dinheiro,471643
around ,por aí,471463
doesn ,não,471037
name ,nome,455543
place ,"Lugar, colocar",444863
ever ,sempre,444088
feel ,sentir,444014
guys ,rapazes,442241
father ,pai,437537
guy ,cara,435832
made ,feito,433900
old ,velho,431911
isn ,isn,429536
which ,que,422483
big ,grande,417218
lot ,muito,411660
done ,feito,408760
hello ,olá,405534
nice ,legais,405497
